,Date,25,Active_power
375,04-06-18,10:30:00 PM,150.0
376,04-06-18,10:45:00 PM,150.0
377,04-06-18,11:00:00 PM,210.00000000000003
378,04-06-18,11:15:00 PM,0.0
379,04-06-18,11:30:00 PM,0.0
380,04-06-18,11:45:00 PM,0.0
381,05-06-18,12:00:00 AM,0.0
382,05-06-18,12:15:00 AM,90.0
383,05-06-18,12:30:00 AM,90.0
384,05-06-18,12:45:00 AM,90.0
385,05-06-18,1:00:00 AM,90.0
386,05-06-18,1:15:00 AM,0.0
387,05-06-18,1:30:00 AM,0.0
388,05-06-18,1:45:00 AM,0.0
389,05-06-18,2:00:00 AM,0.0
390,05-06-18,2:15:00 AM,0.0
391,05-06-18,2:30:00 AM,0.0
392,05-06-18,2:45:00 AM,0.0
393,05-06-18,3:00:00 AM,0.0
394,05-06-18,3:15:00 AM,0.0
395,05-06-18,3:30:00 AM,0.0
396,05-06-18,3:45:00 AM,0.0
397,05-06-18,4:00:00 AM,0.0
398,05-06-18,4:15:00 AM,90.0
399,05-06-18,4:30:00 AM,90.0
400,05-06-18,4:45:00 AM,90.0
401,05-06-18,5:00:00 AM,90.0
402,05-06-18,5:15:00 AM,0.0
403,05-06-18,5:30:00 AM,0.0
404,05-06-18,5:45:00 AM,0.0
405,05-06-18,6:00:00 AM,0.0
406,05-06-18,6:15:00 AM,869.9999999999999
407,05-06-18,6:30:00 AM,60.0
408,05-06-18,6:45:00 AM,330.0
409,05-06-18,7:00:00 AM,2610.0
410,05-06-18,7:15:00 AM,2430.0
411,05-06-18,7:30:00 AM,0.0
412,05-06-18,7:45:00 AM,0.0
413,05-06-18,8:00:00 AM,0.0
414,05-06-18,8:15:00 AM,0.0
415,05-06-18,8:30:00 AM,0.0
416,05-06-18,8:45:00 AM,0.0
417,05-06-18,9:00:00 AM,0.0
418,05-06-18,9:15:00 AM,0.0
419,05-06-18,9:30:00 AM,0.0
420,05-06-18,9:45:00 AM,0.0
421,05-06-18,10:00:00 AM,0.0
422,05-06-18,10:15:00 AM,0.0
423,05-06-18,10:30:00 AM,0.0
424,05-06-18,10:45:00 AM,0.0
425,05-06-18,11:00:00 AM,0.0
426,05-06-18,11:15:00 AM,0.0
427,05-06-18,11:30:00 AM,0.0
428,05-06-18,11:45:00 AM,0.0
429,05-06-18,12:00:00 PM,930.0
430,05-06-18,12:15:00 PM,0.0
431,05-06-18,12:30:00 PM,0.0
432,05-06-18,12:45:00 PM,0.0
433,05-06-18,1:00:00 PM,0.0
434,05-06-18,1:15:00 PM,0.0
435,05-06-18,1:30:00 PM,0.0
436,05-06-18,1:45:00 PM,0.0
437,05-06-18,2:00:00 PM,0.0
438,05-06-18,2:15:00 PM,0.0
439,05-06-18,2:30:00 PM,0.0
440,05-06-18,2:45:00 PM,0.0
441,05-06-18,3:00:00 PM,0.0
442,05-06-18,3:15:00 PM,0.0
443,05-06-18,3:30:00 PM,0.0
444,05-06-18,3:45:00 PM,0.0
445,05-06-18,4:00:00 PM,0.0
446,05-06-18,4:15:00 PM,0.0
447,05-06-18,4:30:00 PM,0.0
448,05-06-18,4:45:00 PM,0.0
449,05-06-18,5:00:00 PM,0.0
450,05-06-18,5:15:00 PM,0.0
451,05-06-18,5:30:00 PM,0.0
452,05-06-18,5:45:00 PM,30.0
453,05-06-18,6:00:00 PM,60.0
454,05-06-18,6:15:00 PM,1080.0
455,05-06-18,6:30:00 PM,60.0
456,05-06-18,6:45:00 PM,120.0
457,05-06-18,7:00:00 PM,120.0
458,05-06-18,7:15:00 PM,0.0
459,05-06-18,7:30:00 PM,0.0
460,05-06-18,7:45:00 PM,0.0
461,05-06-18,8:00:00 PM,0.0
462,05-06-18,8:15:00 PM,150.0
463,05-06-18,8:30:00 PM,150.0
464,05-06-18,8:45:00 PM,150.0
465,05-06-18,9:00:00 PM,150.0
466,05-06-18,9:15:00 PM,0.0
467,05-06-18,9:30:00 PM,0.0
468,05-06-18,9:45:00 PM,0.0
469,05-06-18,10:00:00 PM,0.0
470,05-06-18,10:15:00 PM,150.0
471,05-06-18,10:30:00 PM,150.0
472,05-06-18,10:45:00 PM,180.0
473,05-06-18,11:00:00 PM,150.0
474,05-06-18,11:15:00 PM,150.0
475,05-06-18,11:30:00 PM,90.0
476,05-06-18,11:45:00 PM,90.0
477,06-06-18,12:00:00 AM,90.0
478,06-06-18,12:15:00 AM,90.0
479,06-06-18,12:30:00 AM,90.0
480,06-06-18,12:45:00 AM,90.0
481,06-06-18,1:00:00 AM,90.0
482,06-06-18,1:15:00 AM,90.0
483,06-06-18,1:30:00 AM,90.0
484,06-06-18,1:45:00 AM,90.0
485,06-06-18,2:00:00 AM,90.0
486,06-06-18,2:15:00 AM,0.0
487,06-06-18,2:30:00 AM,0.0
488,06-06-18,2:45:00 AM,0.0
489,06-06-18,3:00:00 AM,0.0
490,06-06-18,3:15:00 AM,0.0
491,06-06-18,3:30:00 AM,0.0
492,06-06-18,3:45:00 AM,0.0
493,06-06-18,4:00:00 AM,0.0
494,06-06-18,4:15:00 AM,0.0
495,06-06-18,4:30:00 AM,0.0
496,06-06-18,4:45:00 AM,0.0
497,06-06-18,5:00:00 AM,0.0
498,06-06-18,5:15:00 AM,0.0
499,06-06-18,5:30:00 AM,0.0
500,06-06-18,5:45:00 AM,0.0
501,06-06-18,6:00:00 AM,0.0
502,06-06-18,6:15:00 AM,0.0
503,06-06-18,6:30:00 AM,0.0
504,06-06-18,6:45:00 AM,0.0
505,06-06-18,7:00:00 AM,0.0
506,06-06-18,7:15:00 AM,840.0000000000001
507,06-06-18,7:30:00 AM,0.0
508,06-06-18,7:45:00 AM,0.0
509,06-06-18,8:00:00 AM,0.0
510,06-06-18,8:15:00 AM,0.0
511,06-06-18,8:30:00 AM,0.0
512,06-06-18,8:45:00 AM,0.0
513,06-06-18,9:00:00 AM,0.0
514,06-06-18,9:15:00 AM,0.0
515,06-06-18,9:30:00 AM,0.0
516,06-06-18,9:45:00 AM,0.0
517,06-06-18,10:00:00 AM,0.0
518,06-06-18,10:15:00 AM,0.0
519,06-06-18,10:30:00 AM,0.0
520,06-06-18,10:45:00 AM,0.0
521,06-06-18,11:00:00 AM,0.0
522,06-06-18,11:15:00 AM,0.0
523,06-06-18,11:30:00 AM,0.0
524,06-06-18,11:45:00 AM,0.0
525,06-06-18,12:00:00 PM,810.0
526,06-06-18,12:15:00 PM,0.0
527,06-06-18,12:30:00 PM,0.0
528,06-06-18,12:45:00 PM,0.0
529,06-06-18,1:00:00 PM,0.0
530,06-06-18,1:15:00 PM,0.0
531,06-06-18,1:30:00 PM,0.0
532,06-06-18,1:45:00 PM,0.0
533,06-06-18,2:00:00 PM,0.0
534,06-06-18,2:15:00 PM,0.0
535,06-06-18,2:30:00 PM,0.0
536,06-06-18,2:45:00 PM,0.0
537,06-06-18,3:00:00 PM,0.0
538,06-06-18,3:15:00 PM,0.0
539,06-06-18,3:30:00 PM,0.0
540,06-06-18,3:45:00 PM,0.0
541,06-06-18,4:00:00 PM,0.0
542,06-06-18,4:15:00 PM,0.0
543,06-06-18,4:30:00 PM,0.0
544,06-06-18,4:45:00 PM,0.0
545,06-06-18,5:00:00 PM,0.0
546,06-06-18,5:15:00 PM,0.0
547,06-06-18,5:30:00 PM,0.0
548,06-06-18,5:45:00 PM,0.0
549,06-06-18,6:00:00 PM,0.0
550,06-06-18,6:15:00 PM,900.0
551,06-06-18,6:30:00 PM,120.0
552,06-06-18,6:45:00 PM,150.0
